"year","age","income"
2002,50,41872
2002,51,41698
2002,52,41414
2002,53,41015
2002,54,40495
2002,55,39847
2002,56,39066
2002,57,38147
2002,58,37082
2002,59,35866
2002,60,34494
2001,20,12993
2001,21,16464
2001,22,19625
2001,23,22491
2001,24,25076
2001,25,27392
2001,26,29456
2001,27,31279
2001,28,32877
2001,29,34264
2001,30,35453
2001,31,36461
2001,32,37310
2001,33,38020
2001,34,38611
2001,35,39103
2001,36,39518
2001,37,39876
2001,38,40197
2001,39,40503
2001,40,40812
2001,41,41129
2001,42,41443
2001,43,41741
2001,44,42010
2001,45,42239
2001,46,42416
2001,47,42527
2001,48,42560
2001,49,42504
2001,50,42347
2001,51,42078
2001,52,41692
2001,53,41184
2001,54,40548
2001,55,39778
2001,56,38868
2001,57,37813
2001,58,36606
2001,59,35243
2001,60,33717
2000,20,13323
2000,21,16726
2000,22,19837
2000,23,22668
2000,24,25232
2000,25,27543
2000,26,29612
2000,27,31452
2000,28,33076
2000,29,34498
2000,30,35729
2000,31,36785
2000,32,37687
2000,33,38453
2000,34,39102
2000,35,39653
2000,36,40127
2000,37,40541
2000,38,40916
2000,39,41270
2000,40,41623
2000,41,41977
2000,42,42319
2000,43,42636
2000,44,42915
2000,45,43143
2000,46,43306
2000,47,43392
2000,48,43386
2000,49,43276
2000,50,43049
2000,51,42694
2000,52,42204
2000,53,41573
2000,54,40794
2000,55,39861
2000,56,38766
2000,57,37502
2000,58,36064
2000,59,34443
2000,60,32635
1999,20,12401
1999,21,16041
1999,22,19329
1999,23,22283
1999,24,24920
1999,25,27257
1999,26,29311
1999,27,31101
1999,28,32642
1999,29,33954
1999,30,35052
1999,31,35959
1999,32,36702
1999,33,37310
1999,34,37809
1999,35,38226
1999,36,38589
1999,37,38926
1999,38,39263
1999,39,39628
1999,40,40048
1999,41,40524
1999,42,41035
1999,43,41557
1999,44,42068
1999,45,42545
1999,46,42964
1999,47,43302
1999,48,43537
1999,49,43645
1999,50,43604
1999,51,43396
1999,52,43007
1999,53,42425
1999,54,41636
1999,55,40628
1999,56,39387
1999,57,37902
1999,58,36158
1999,59,34143
1999,60,31844
1998,20,12278
1998,21,15712
1998,22,18828
1998,23,21642
1998,24,24168
1998,25,26422
1998,26,28418
1998,27,30173
1998,28,31701
1998,29,33017
1998,30,34136
1998,31,35079
1998,32,35870
1998,33,36532
1998,34,37089
1998,35,37567
1998,36,37989
1998,37,38380
1998,38,38763
1998,39,39163
1998,40,39603
1998,41,40085
1998,42,40589
1998,43,41093
1998,44,41577
1998,45,42019
1998,46,42398
1998,47,42694
1998,48,42884
1998,49,42949
1998,50,42867
1998,51,42622
1998,52,42201
1998,53,41593
1998,54,40785
1998,55,39766
1998,56,38523
1998,57,37044
1998,58,35318
1998,59,33332
1998,60,31075
1997,20,11813
1997,21,15025
1997,22,17951
1997,23,20603
1997,24,22995
1997,25,25141
1997,26,27054
1997,27,28747
1997,28,30233
1997,29,31526
1997,30,32639
1997,31,33589
1997,32,34398
1997,33,35087
1997,34,35677
1997,35,36189
1997,36,36645
1997,37,37065
1997,38,37471
1997,39,37885
1997,40,38326
1997,41,38797
1997,42,39278
1997,43,39753
